Category,Sub Category 1,Sub Category 2,Weight,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24
Headline,,,100.0,0.028947531984913025,0.029713971072633162,0.03269029056940031,0.033573639501191646,0.03477385070038028,0.03153171120861603,0.0309088478122805
Food + Energy,,,20.21,0.018005968925640943,0.017989089028986768,0.02627083297449226,0.023369117685591637,0.022053357550073004,0.008811801170011827,0.0021009192452484376
,Food,,13.555,0.021606130459161536,0.021941771835561667,0.021056186310039485,0.022006675337292725,0.02246982766744769,0.02244930042446152,0.02550322855654315
,,At home,8.167,0.010505676294672977,0.011302032513602562,0.010392186028062697,0.011176602894869212,0.011619048880821882,0.00987162914940671,0.011949508185844296
,,Away Home,5.388,0.04092013233313219,0.04056796849637957,0.04025877605613047,0.04149904480450512,0.04172667626820284,0.04520954727210523,0.05083358163835026
,Energy,,6.655,0.010673107980957,0.009938207670140376,0.03689210052320109,0.026144159914170417,0.021205085207321117,-0.018965254035708017,-0.04556524194402276
Core,,,79.79,0.03171278789406666,0.03267294681298747,0.03418739613626926,0.03609982437218762,0.038012806243371076,0.03752495797849406,0.03861744192977925
,Commodities,,18.891,-0.018915090409132553,-0.01835836477092082,-0.01747191377990367,-0.012709061984234387,-0.006504513029989115,-0.002971500066167004,-0.002866819886294844
,Services,,60.899,0.049220858186642215,0.05064213429607254,0.052500031621953186,0.053480593952291745,0.05396353284492779,0.052200887020278475,0.05369288691260092
,,Shelter,36.191,0.05054339579201838,0.05160354603593327,0.05411641709083994,0.05549920878513993,0.056545706201279494,0.057437384231295845,0.06036770972847934
,,Supercore,24.708,0.047283673530815404,0.049233908123282356,0.05013243381944063,0.050523831388927305,0.050181298915037684,0.04453073684365838,0.043915951809417514
